Record_ID,Date,Time,Road_ID,Area,Vehicle_Count,Car_Count,Bus_Count,Bike_Count,Truck_Count,Avg_Speed_kmph,Congestion_Level,Signal_Wait_Time_sec,Accident_Count,Weather
3590,2024-01-01,04:00,Ring Road,South Zone,915,529,95,203,88,44.1,High,54,0,Rainy
994,2024-01-01,04:00,Green Park Rd,West Zone,801,454,92,147,108,45.8,High,68,0,Sunny
650,2024-01-01,07:00,Station Road,South Zone,1079,592,95,308,84,37.9,High,75,0,Sunny
3081,2024-01-01,08:00,Airport Road,South Zone,1188,726,85,272,105,39.0,High,66,0,Sunny
2076,2024-01-01,10:00,Green Park Rd,Downtown,1772,797,194,382,399,23.1,High,84,0,Sunny
448,2024-01-01,12:00,Outer Ring Road,South Zone,586,312,69,112,93,55.3,Medium,48,0,Sunny
851,2024-01-01,13:00,Station Road,South Zone,545,252,52,127,114,53.2,High,51,0,Cloudy
1031,2024-01-01,17:00,Ring Road,West Zone,1101,540,93,232,236,39.7,High,69,0,Sunny
2016,2024-01-01,18:00,Outer Ring Road,East Zone,1102,610,127,223,142,28.7,High,69,0,Rainy
758,2024-01-01,19:00,Airport Road,Downtown,1429,811,114,323,181,31.2,High,90,0,Sunny
1167,2024-01-01,19:00,MG Road,West Zone,1804,874,180,496,254,12.5,High,64,0,Rainy
3285,2024-01-01,20:00,Market Road,East Zone,1338,730,148,298,162,27.6,High,78,0,Sunny
679,2024-01-01,20:00,Outer Ring Road,South Zone,877,518,96,208,55,42.7,High,55,0,Rainy
1993,2024-01-01,22:00,Airport Road,East Zone,745,415,66,136,128,42.7,High,54,0,Sunny
1293,2024-01-02,04:00,Green Park Rd,Downtown,1085,471,112,288,214,44.0,High,66,0,Sunny
3162,2024-01-02,04:00,Airport Road,East Zone,834,359,97,222,156,40.9,High,51,0,Rainy
264,2024-01-02,07:00,Lake View Road,East Zone,1231,709,144,245,133,32.4,High,52,0,Rainy
1829,2024-01-02,07:00,NH-44,North Zone,663,373,79,191,20,43.8,High,67,0,Foggy
3340,2024-01-02,08:00,IT Corridor,Downtown,1327,701,137,359,130,36.5,High,69,0,Sunny
207,2024-01-02,12:00,Outer Ring Road,Downtown,1359,778,129,265,187,27.7,High,60,0,Cloudy
